iso3_country_code,date,price,country,price_type,market,commodity,currency,unit
IDN,2021-06-01,46503.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-07-01,45024.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-08-01,43718.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-09-01,44142.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-10-01,44738.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-11-01,45584.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-12-01,46651.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-01-01,48909.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-02-01,46953.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-03-01,47460.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-04-01,50497.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-05-01,50027.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-06-01,48796.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-07-01,48840.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-08-01,46720.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-09-01,46613.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-10-01,45560.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-11-01,45633.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2022-12-01,46993.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-01-01,39719.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-02-01,38877.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-03-01,39264.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-04-01,39805.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-05-01,40770.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-06-01,42675.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-07-01,43874.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-08-01,41767.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-09-01,41654.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-10-01,41471.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-11-01,41104.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2023-12-01,36698.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2024-01-01,37083.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
